""	"Mean MTP_MT"	"Mean MT_MB"	"clusters"
"1967"	0.07149775	0.1511145	9
"1969"	0.02056809	0.1604561	9
"1970"	-0.002210433	0.1800157	9
"1971"	0.001309216	0.1594745	9
"1973"	0.04280327	0.1362917	9
"1976"	0.01855456	0.106761	9
"1977"	0.02642923	0.1064792	9
"1978"	0.03101534	0.1733606	9
"1979"	-0.02404914	0.1981325	9
"1980"	0.07988707	0.175512	9
"1981"	0.04130729	0.1351553	9
"1982"	0.001614773	0.148064	9
"1984"	0.04930077	0.1389976	9
"1985"	0.01177588	0.1427093	9
"1986"	-0.0171387	0.1672946	9
"1987"	-0.02619648	0.1591129	9
"1988"	0.05418896	0.1627982	9
"1990"	0.02921319	0.1213635	9
"1991"	-0.02784728	0.1619478	9
"1992"	-0.009289037	0.2072173	9
"1993"	0.04219925	0.134579	9
"1994"	0.0576231	0.1706711	9
"1996"	0.01800166	0.130608	9
"1997"	-0.01143555	0.1637661	9
"1998"	0.02651717	0.1157923	9
"1999"	0.03201951	0.1138003	9
"2000"	-0.01194622	0.1429775	9
"2001"	-0.02490978	0.1923209	9
"2002"	0.05418944	0.1134889	9
"2003"	-0.004835793	0.1919995	9
"2005"	0.05449817	0.1642498	9
"2006"	-0.01362254	0.1734235	9
"2007"	0.07263939	0.1751174	9
"2008"	0.01559281	0.1155093	9
"2009"	-0.07452595	0.1881161	9
"2010"	-0.01805022	0.1842551	9
"2012"	0.01762914	0.2058351	9
"2013"	0.004635171	0.1473554	9
"2014"	0.04428451	0.09763732	9
"2015"	-0.002729417	0.211731	9
"2016"	0.0497852	0.1680834	9
"2017"	0.06571792	0.1618842	9
"2018"	0.009755176	0.1402076	9
"2020"	0.03680025	0.1622047	9
"2021"	0.04342604	0.1560468	9
"2022"	0.01849505	0.1220201	9
"2023"	-0.03648805	0.1979936	9
"2024"	0.01446832	0.1799904	9
"2026"	-0.01417656	0.1471591	9
"2027"	0.03835762	0.1338554	9
"2028"	0.01646831	0.1345795	9
"2029"	0.06933312	0.1265126	9
"2030"	0.000243808	0.1046763	9
"2031"	0.02353914	0.1367775	9
"2032"	0.08292679	0.1858158	9
"2033"	-0.03957245	0.1992847	9
"2034"	0.07587874	0.1311984	9
"2036"	-0.02580385	0.1915704	9
"2038"	-0.03137518	0.1310349	9
"2039"	-0.009822038	0.1100911	9
"2041"	-0.1040389	0.1837659	9
"2042"	0.02735616	0.1247195	9
"2043"	0.05959128	0.1523423	9
"2044"	0.1141025	0.1692922	9
"2046"	0.08287384	0.1534207	9
"2047"	0.04361463	0.1523095	9
"2049"	-0.01692387	0.2033752	9
"2050"	0.002403465	0.1425507	9
"2051"	0.003966264	0.151437	9
"2052"	0.02703387	0.1161859	9
"2054"	-0.007612913	0.1712257	9
"2055"	0.01294035	0.1742424	9
"2056"	0.04680025	0.1734932	9
"2057"	-0.03451443	0.1872094	9
"2058"	0.0505902	0.1708972	9
"2059"	0.006372371	0.1079921	9
"2061"	0.09256439	0.1487033	9
"2062"	-0.02007715	0.1721142	9
"2064"	0.03064799	0.1310223	9
"2065"	0.05175328	0.1357594	9
"2066"	0.02805104	0.1701563	9
"2067"	0.02450235	0.1025693	9
"2068"	-0.01420879	0.1604836	9
"2070"	-0.0360096	0.1756708	9
"2071"	0.0132929	0.1113595	9
"2072"	0.08126664	0.1342463	9
"2073"	0.001609809	0.1482212	9
"2075"	-0.02232169	0.1752793	9
"2076"	-0.01087919	0.1696207	9
"2077"	-0.003083816	0.1957459	9
"2078"	0.05100598	0.1035377	9
"2079"	0.03746234	0.1684362	9
"2080"	-0.01273439	0.1956887	9
"2081"	0.05251062	0.1077097	9
"2084"	0.04608847	0.1363186	9
"2085"	0.1160952	0.1701418	9
"2086"	-0.008249192	0.1853237	9
"2087"	0.02642586	0.1640483	9
"2090"	0.02099822	0.1186888	9
"2091"	0.04178224	0.1828518	9
"2092"	-0.02372584	0.1406849	9
"2093"	0.05383803	0.1074837	9
"2094"	0.03552299	0.1651002	9
"2096"	-0.04023692	0.1383719	9
"2097"	-0.02424124	0.1343341	9
"2099"	0.04052255	0.1799194	9
"2100"	-0.01656607	0.1687092	9
"2102"	0.02902257	0.1278091	9
"2103"	-0.06477901	0.1905842	9
"2104"	0.02311596	0.1355595	9
"2105"	-0.01629501	0.1257068	9
"2106"	0.01737077	0.1445266	9
"2107"	0.006628715	0.1303426	9
"2108"	0.006406532	0.1925268	9
"2109"	-0.003668617	0.1366836	9
"2110"	0.02382075	0.1334614	9
"2112"	0.01046862	0.1293528	9
"2113"	-0.02587799	0.142893	9
"2116"	0.06453429	0.1288373	9
"2117"	0.005055285	0.1775172	9
"2120"	-0.001254165	0.209896	9
"2121"	-0.009659826	0.1870665	9
"2123"	-0.01962492	0.2067178	9
"2125"	0.02651631	0.1880985	9
"2126"	-0.02954381	0.1456439	9
"2127"	0.00145266	0.187258	9
"2128"	0.02105561	0.1160987	9
"2129"	0.03404087	0.1413307	9
"2130"	-0.04122109	0.1959928	9
"2132"	0.01173259	0.1194259	9
"2134"	0.01979236	0.1572798	9
"2135"	-0.004800583	0.1092409	9
"2136"	-0.02317794	0.1184846	9
"2137"	0.001459313	0.1255058	9
"2139"	-0.03052816	0.1894066	9
"2140"	-0.02579848	0.1408706	9
"2141"	0.06018927	0.1311599	9
"2142"	0.004313739	0.1239446	9
"2143"	0.003618295	0.1186551	9
"2144"	0.0190739	0.1765211	9
"2145"	-0.07741904	0.1641575	9
"2146"	0.008330311	0.196818	9
"2148"	0.06379557	0.169047	9
"2149"	-0.005039562	0.1680359	9
"2150"	-0.07540722	0.2094005	9
"2152"	-0.002228644	0.1710113	9
"2154"	0.04641247	0.1886014	9
"2155"	0.03912325	0.1721738	9
"2156"	0.03590654	0.1351078	9
"2157"	0.03323038	0.2056051	9
"2158"	0.03128339	0.2009968	9
"2160"	0.0377939	0.1245012	9
"2161"	0.06066263	0.168282	9
"2162"	0.0102189	0.133085	9
"2164"	0.04932408	0.1153385	9
"2166"	0.04533259	0.1585396	9
"2167"	-0.04313785	0.1455805	9
"2168"	0.01959521	0.1677805	9
"2171"	-0.03934609	0.1498261	9
"2172"	0.0512826	0.1960932	9
"2174"	0.02941217	0.1718998	9
"2175"	-0.04218905	0.1560436	9
"2177"	-0.01831444	0.1900838	9
"2179"	-0.01021039	0.1238045	9
"2180"	0.05891866	0.1634257	9
"2181"	0.03775182	0.1292864	9
"2182"	-0.03993962	0.2096365	9
"2183"	0.05778337	0.1510329	9
"2184"	0.05056918	0.1507514	9
"2186"	0.03577973	0.1515588	9
"2187"	0.04692039	0.1220836	9
"2190"	0.03028335	0.1538997	9
"2192"	0.01503904	0.135835	9
"2193"	-0.000860789	0.171412	9
"2195"	0.03333825	0.2058089	9
"2197"	-0.01324216	0.1720808	9
"2198"	0.03389224	0.1911697	9
"2200"	0.07318801	0.1417204	9
"2201"	-0.03464867	0.1695102	9
"2203"	0.01775479	0.118383	9
"2204"	-0.01517627	0.1753326	9
"2206"	0.08301227	0.1793776	9
"2207"	-0.009824384	0.1594972	9
"2208"	0.02859459	0.1798967	9
"2209"	0.06033	0.1497159	9
"2210"	0.03888118	0.1392312	9
"2212"	0.02577275	0.1459739	9
"2214"	-0.00575299	0.1767445	9
"2215"	0.009521822	0.1444881	9
"2217"	0.1079589	0.1953248	9
"2218"	0.03792949	0.1986905	9
